Sr. no,Date,Open,High,Low,Close,Volume
790,2023-04-20T12:35:00+0530,1670.1,1671.5,1669,1669.35,357542
791,2023-04-20T12:40:00+0530,1669.35,1670.9,1668.45,1669.95,175611
792,2023-04-20T12:45:00+0530,1669.95,1670.5,1668.95,1669.7,61831
793,2023-04-20T12:50:00+0530,1669.7,1670.4,1669.25,1669.9,46838
794,2023-04-20T12:55:00+0530,1669.9,1670.45,1668.5,1670.15,140188
795,2023-04-20T13:00:00+0530,1670.1,1670.2,1667.8,1668.3,134809
796,2023-04-20T13:05:00+0530,1668.3,1670.3,1668,1668.7,297413
797,2023-04-20T13:10:00+0530,1668.7,1670.95,1668.05,1670.55,474656
798,2023-04-20T13:15:00+0530,1670.7,1671.5,1669.55,1671.35,291140
799,2023-04-20T13:20:00+0530,1671.35,1671.5,1669.2,1669.8,218710
800,2023-04-20T13:25:00+0530,1669.9,1670.4,1668.5,1670,189159
801,2023-04-20T13:30:00+0530,1669.95,1670.35,1669.6,1670.35,41573
802,2023-04-20T13:35:00+0530,1670,1671.35,1669.95,1670.7,44347
803,2023-04-20T13:40:00+0530,1670.65,1671.2,1669,1670.95,135789
804,2023-04-20T13:45:00+0530,1670.95,1671.2,1669.45,1669.8,178498
805,2023-04-20T13:50:00+0530,1669.8,1671.85,1669.7,1670.75,149299
806,2023-04-20T13:55:00+0530,1670.75,1671.5,1668.6,1669.75,188957
807,2023-04-20T14:00:00+0530,1669.7,1671.1,1669.25,1670.05,224864
808,2023-04-20T14:05:00+0530,1670.05,1670.4,1669.1,1670,195476
809,2023-04-20T14:10:00+0530,1670.4,1671.9,1669.95,1671.05,286371
810,2023-04-20T14:15:00+0530,1670.95,1672.9,1670.9,1672.75,134650
811,2023-04-20T14:20:00+0530,1672.05,1674.05,1671.2,1673.3,331475
812,2023-04-20T14:25:00+0530,1673.3,1673.4,1671.65,1673.3,120018
813,2023-04-20T14:30:00+0530,1673.2,1673.3,1670.5,1671.8,210033
814,2023-04-20T14:35:00+0530,1671.85,1672.8,1670.3,1670.35,640239
815,2023-04-20T14:40:00+0530,1670.3,1671.8,1669.05,1671.2,645147
816,2023-04-20T14:45:00+0530,1671.35,1673.1,1669.35,1671.65,478919
817,2023-04-20T14:50:00+0530,1671.65,1671.9,1669.65,1671.8,115597
818,2023-04-20T14:55:00+0530,1671.85,1673.75,1671.45,1673.1,43928
819,2023-04-20T15:00:00+0530,1673.1,1673.15,1671.05,1671.2,124842
820,2023-04-20T15:05:00+0530,1671.2,1673,1670.4,1671.15,241156
821,2023-04-20T15:10:00+0530,1671.1,1672.75,1670.65,1672.7,331474
822,2023-04-20T15:15:00+0530,1672.7,1673.35,1671.75,1672.15,228460
823,2023-04-20T15:20:00+0530,1672.5,1673.15,1670.85,1672,173106
824,2023-04-20T15:25:00+0530,1671.75,1673.75,1671,1673,128999
825,2023-04-21T09:15:00+0530,1669,1674.8,1669,1671.65,322560
826,2023-04-21T09:20:00+0530,1671.45,1673.75,1671.05,1672.5,210433
827,2023-04-21T09:25:00+0530,1672.5,1673.95,1672.1,1673.6,223395
828,2023-04-21T09:30:00+0530,1673.6,1674.25,1669.2,1670.4,360301
829,2023-04-21T09:35:00+0530,1670.45,1672,1669.45,1670.65,129927
